,path,source,actor,gender,emotion,emotion_lb
0,E:/SER/audio/Actor_01/03-01-01-01-01-01-01.wav,Ravdess,1,male,1,neutral
1,E:/SER/audio/Actor_01/03-01-01-01-01-02-01.wav,Ravdess,1,male,1,neutral
2,E:/SER/audio/Actor_01/03-01-01-01-02-01-01.wav,Ravdess,1,male,1,neutral
3,E:/SER/audio/Actor_01/03-01-01-01-02-02-01.wav,Ravdess,1,male,1,neutral
4,E:/SER/audio/Actor_01/03-01-02-01-01-01-01.wav,Ravdess,1,male,2,calm
5,E:/SER/audio/Actor_01/03-01-02-01-01-02-01.wav,Ravdess,1,male,2,calm
6,E:/SER/audio/Actor_01/03-01-02-01-02-01-01.wav,Ravdess,1,male,2,calm
7,E:/SER/audio/Actor_01/03-01-02-01-02-02-01.wav,Ravdess,1,male,2,calm
8,E:/SER/audio/Actor_01/03-01-02-02-01-01-01.wav,Ravdess,1,male,2,calm
9,E:/SER/audio/Actor_01/03-01-02-02-01-02-01.wav,Ravdess,1,male,2,calm
10,E:/SER/audio/Actor_01/03-01-02-02-02-01-01.wav,Ravdess,1,male,2,calm
11,E:/SER/audio/Actor_01/03-01-02-02-02-02-01.wav,Ravdess,1,male,2,calm
12,E:/SER/audio/Actor_01/03-01-03-01-01-01-01.wav,Ravdess,1,male,3,happy
13,E:/SER/audio/Actor_01/03-01-03-01-01-02-01.wav,Ravdess,1,male,3,happy
14,E:/SER/audio/Actor_01/03-01-03-01-02-01-01.wav,Ravdess,1,male,3,happy
15,E:/SER/audio/Actor_01/03-01-03-01-02-02-01.wav,Ravdess,1,male,3,happy
16,E:/SER/audio/Actor_01/03-01-03-02-01-01-01.wav,Ravdess,1,male,3,happy
17,E:/SER/audio/Actor_01/03-01-03-02-01-02-01.wav,Ravdess,1,male,3,happy
18,E:/SER/audio/Actor_01/03-01-03-02-02-01-01.wav,Ravdess,1,male,3,happy
19,E:/SER/audio/Actor_01/03-01-03-02-02-02-01.wav,Ravdess,1,male,3,happy
20,E:/SER/audio/Actor_01/03-01-04-01-01-01-01.wav,Ravdess,1,male,4,sad
21,E:/SER/audio/Actor_01/03-01-04-01-01-02-01.wav,Ravdess,1,male,4,sad
22,E:/SER/audio/Actor_01/03-01-04-01-02-01-01.wav,Ravdess,1,male,4,sad
23,E:/SER/audio/Actor_01/03-01-04-01-02-02-01.wav,Ravdess,1,male,4,sad
24,E:/SER/audio/Actor_01/03-01-04-02-01-01-01.wav,Ravdess,1,male,4,sad
25,E:/SER/audio/Actor_01/03-01-04-02-01-02-01.wav,Ravdess,1,male,4,sad
26,E:/SER/audio/Actor_01/03-01-04-02-02-01-01.wav,Ravdess,1,male,4,sad
27,E:/SER/audio/Actor_01/03-01-04-02-02-02-01.wav,Ravdess,1,male,4,sad
28,E:/SER/audio/Actor_01/03-01-05-01-01-01-01.wav,Ravdess,1,male,5,angry
29,E:/SER/audio/Actor_01/03-01-05-01-01-02-01.wav,Ravdess,1,male,5,angry
30,E:/SER/audio/Actor_01/03-01-05-01-02-01-01.wav,Ravdess,1,male,5,angry
31,E:/SER/audio/Actor_01/03-01-05-01-02-02-01.wav,Ravdess,1,male,5,angry
32,E:/SER/audio/Actor_01/03-01-05-02-01-01-01.wav,Ravdess,1,male,5,angry
33,E:/SER/audio/Actor_01/03-01-05-02-01-02-01.wav,Ravdess,1,male,5,angry
34,E:/SER/audio/Actor_01/03-01-05-02-02-01-01.wav,Ravdess,1,male,5,angry
35,E:/SER/audio/Actor_01/03-01-05-02-02-02-01.wav,Ravdess,1,male,5,angry
36,E:/SER/audio/Actor_01/03-01-06-01-01-01-01.wav,Ravdess,1,male,6,fearful
37,E:/SER/audio/Actor_01/03-01-06-01-01-02-01.wav,Ravdess,1,male,6,fearful
38,E:/SER/audio/Actor_01/03-01-06-01-02-01-01.wav,Ravdess,1,male,6,fearful
39,E:/SER/audio/Actor_01/03-01-06-01-02-02-01.wav,Ravdess,1,male,6,fearful
40,E:/SER/audio/Actor_01/03-01-06-02-01-01-01.wav,Ravdess,1,male,6,fearful
41,E:/SER/audio/Actor_01/03-01-06-02-01-02-01.wav,Ravdess,1,male,6,fearful
42,E:/SER/audio/Actor_01/03-01-06-02-02-01-01.wav,Ravdess,1,male,6,fearful
43,E:/SER/audio/Actor_01/03-01-06-02-02-02-01.wav,Ravdess,1,male,6,fearful
44,E:/SER/audio/Actor_01/03-01-07-01-01-01-01.wav,Ravdess,1,male,7,disgust
45,E:/SER/audio/Actor_01/03-01-07-01-01-02-01.wav,Ravdess,1,male,7,disgust
46,E:/SER/audio/Actor_01/03-01-07-01-02-01-01.wav,Ravdess,1,male,7,disgust
47,E:/SER/audio/Actor_01/03-01-07-01-02-02-01.wav,Ravdess,1,male,7,disgust
48,E:/SER/audio/Actor_01/03-01-07-02-01-01-01.wav,Ravdess,1,male,7,disgust
49,E:/SER/audio/Actor_01/03-01-07-02-01-02-01.wav,Ravdess,1,male,7,disgust
50,E:/SER/audio/Actor_01/03-01-07-02-02-01-01.wav,Ravdess,1,male,7,disgust
51,E:/SER/audio/Actor_01/03-01-07-02-02-02-01.wav,Ravdess,1,male,7,disgust
52,E:/SER/audio/Actor_01/03-01-08-01-01-01-01.wav,Ravdess,1,male,8,surprised
53,E:/SER/audio/Actor_01/03-01-08-01-01-02-01.wav,Ravdess,1,male,8,surprised
54,E:/SER/audio/Actor_01/03-01-08-01-02-01-01.wav,Ravdess,1,male,8,surprised
55,E:/SER/audio/Actor_01/03-01-08-01-02-02-01.wav,Ravdess,1,male,8,surprised
56,E:/SER/audio/Actor_01/03-01-08-02-01-01-01.wav,Ravdess,1,male,8,surprised
57,E:/SER/audio/Actor_01/03-01-08-02-01-02-01.wav,Ravdess,1,male,8,surprised
58,E:/SER/audio/Actor_01/03-01-08-02-02-01-01.wav,Ravdess,1,male,8,surprised
59,E:/SER/audio/Actor_01/03-01-08-02-02-02-01.wav,Ravdess,1,male,8,surprised
60,E:/SER/audio/Actor_02/03-01-01-01-01-01-02.wav,Ravdess,2,female,1,neutral
61,E:/SER/audio/Actor_02/03-01-01-01-01-02-02.wav,Ravdess,2,female,1,neutral
62,E:/SER/audio/Actor_02/03-01-01-01-02-01-02.wav,Ravdess,2,female,1,neutral
63,E:/SER/audio/Actor_02/03-01-01-01-02-02-02.wav,Ravdess,2,female,1,neutral
64,E:/SER/audio/Actor_02/03-01-02-01-01-01-02.wav,Ravdess,2,female,2,calm
65,E:/SER/audio/Actor_02/03-01-02-01-01-02-02.wav,Ravdess,2,female,2,calm
66,E:/SER/audio/Actor_02/03-01-02-01-02-01-02.wav,Ravdess,2,female,2,calm
67,E:/SER/audio/Actor_02/03-01-02-01-02-02-02.wav,Ravdess,2,female,2,calm
68,E:/SER/audio/Actor_02/03-01-02-02-01-01-02.wav,Ravdess,2,female,2,calm
69,E:/SER/audio/Actor_02/03-01-02-02-01-02-02.wav,Ravdess,2,female,2,calm
70,E:/SER/audio/Actor_02/03-01-02-02-02-01-02.wav,Ravdess,2,female,2,calm
71,E:/SER/audio/Actor_02/03-01-02-02-02-02-02.wav,Ravdess,2,female,2,calm
72,E:/SER/audio/Actor_02/03-01-03-01-01-01-02.wav,Ravdess,2,female,3,happy
73,E:/SER/audio/Actor_02/03-01-03-01-01-02-02.wav,Ravdess,2,female,3,happy
74,E:/SER/audio/Actor_02/03-01-03-01-02-01-02.wav,Ravdess,2,female,3,happy
75,E:/SER/audio/Actor_02/03-01-03-01-02-02-02.wav,Ravdess,2,female,3,happy
76,E:/SER/audio/Actor_02/03-01-03-02-01-01-02.wav,Ravdess,2,female,3,happy
77,E:/SER/audio/Actor_02/03-01-03-02-01-02-02.wav,Ravdess,2,female,3,happy
78,E:/SER/audio/Actor_02/03-01-03-02-02-01-02.wav,Ravdess,2,female,3,happy
79,E:/SER/audio/Actor_02/03-01-03-02-02-02-02.wav,Ravdess,2,female,3,happy
80,E:/SER/audio/Actor_02/03-01-04-01-01-01-02.wav,Ravdess,2,female,4,sad
81,E:/SER/audio/Actor_02/03-01-04-01-01-02-02.wav,Ravdess,2,female,4,sad
82,E:/SER/audio/Actor_02/03-01-04-01-02-01-02.wav,Ravdess,2,female,4,sad
83,E:/SER/audio/Actor_02/03-01-04-01-02-02-02.wav,Ravdess,2,female,4,sad
84,E:/SER/audio/Actor_02/03-01-04-02-01-01-02.wav,Ravdess,2,female,4,sad
85,E:/SER/audio/Actor_02/03-01-04-02-01-02-02.wav,Ravdess,2,female,4,sad
86,E:/SER/audio/Actor_02/03-01-04-02-02-01-02.wav,Ravdess,2,female,4,sad
87,E:/SER/audio/Actor_02/03-01-04-02-02-02-02.wav,Ravdess,2,female,4,sad
88,E:/SER/audio/Actor_02/03-01-05-01-01-01-02.wav,Ravdess,2,female,5,angry
89,E:/SER/audio/Actor_02/03-01-05-01-01-02-02.wav,Ravdess,2,female,5,angry
90,E:/SER/audio/Actor_02/03-01-05-01-02-01-02.wav,Ravdess,2,female,5,angry
91,E:/SER/audio/Actor_02/03-01-05-01-02-02-02.wav,Ravdess,2,female,5,angry
92,E:/SER/audio/Actor_02/03-01-05-02-01-01-02.wav,Ravdess,2,female,5,angry
93,E:/SER/audio/Actor_02/03-01-05-02-01-02-02.wav,Ravdess,2,female,5,angry
